time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2011-07-01 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,104944.341658,78364.800000,47470841.548379,    0.000000,    0.000000,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060007,    4.789823,    4.789522,    4.789522,    0.000000,    0.000000,    0.000000, -115.689581,    0.000000,   -0.305871,    0.000000,    0.000000,    0.000000,    2.138590,    0.295787,    0.001300,    0.001300,    0.000000
2011-07-02 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,99660.169498,77716.800000,13754.601641,-8205.640333,    0.000000,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060001,    4.589006,    4.583767,    4.583767,   40.560448,  -19.086150,   -5.337969,  -54.005344,    0.000000,   12.910689,    0.266892,    5.780157,    1.926567,    0.000362,    0.343982,    0.001300,    0.001300,    0.000000
2011-07-03 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,94225.900169,76204.800000,143049.588883,-2111.974892,126470.538884,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060001,    4.536933,    4.531926,    4.531926,   37.981270,   -4.912948,    3.593718,  -46.224764,    0.000000,   12.579779,    0.103149,    2.399835,    1.239785,    0.001919,    0.344319,    0.001300,    0.001300,    0.000000
2011-07-04 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,117158.360105,74476.800000,171429.133697,-10813.327098,138867.362579,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060007,    4.217069,    4.196786,    4.196786,   33.461995,  -25.158692,  -16.533112,  -53.359205,    0.000000,   12.936375,    0.267011,    5.782871,    1.926996,    0.000425,    0.343733,    0.001300,    0.001300,    0.000000
2011-07-05 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,146405.234830,76464.000000,82182.837945,-34931.367041,47103.032936,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060019,    3.166389,    3.088783,    3.088783,   32.420311,  -81.325637,  -90.784377,  -66.274207,    0.000000,   12.565715,    0.308716,    6.604969,    2.062451,    0.000420,    0.342769,    0.001300,    0.001300,    0.000000
2011-07-06 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,152599.801543,108216.000000,51577.550500,-12679.076132,19831.848312,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060036,    2.829627,    2.311457,    2.311457,   39.497322,  -29.541223,  -30.033542,  -64.727025,    0.000000,   12.564123,    0.213295,    4.703672,    1.736259,    6.511048,    0.342414,    0.001300,    0.001300,    0.000000
2011-07-07 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,164395.273075,129427.200000,25386.989909,-9600.798764,    0.000000,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060060,    2.414394,    2.321981,    2.321981,   40.992536,  -22.377877,  -14.975568,  -62.984508,    0.000000,   12.537590,    0.180535,    4.033640,    1.607479,    0.001691,    0.341982,    0.001300,    0.001300,    0.000000
2011-07-08 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,183874.593456,127008.000000,50261.196376,-21493.028180,14873.819115,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060090,    2.000401,    1.899416,    1.899416,   33.406087,  -50.112128,  -15.155092,  -47.854631,    0.000000,   12.563268,    0.518112,   10.523274,    2.652696,    0.000230,    0.341508,    0.001300,    0.001300,    0.000000
2011-07-09 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,189689.224939,135561.600000,99790.436986,-14094.023059,59499.818903,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060125,    1.678388,    1.573053,    1.573053,   29.577982,  -32.872015,  -13.336610,  -45.006705,    0.000000,   12.571832,    0.108908,    2.524539,    1.271589,    0.004920,    0.341399,    0.001300,    0.001300,    0.000000
2011-07-10 24:00:00,47857500.000000,    0.000000,    0.000000,    0.000000,200857.233362,144979.200000,89431.568850,-3822.748739,37185.326909,    0.000000,    0.000000,    5.500000,12395200.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.060166,    1.524931,    1.396450,    1.396450,   31.868640,   -8.918177,   -7.818436,  -48.633727,    0.000000,   13.446863,    0.108906,    2.524467,    1.271571,    0.005357,    0.380564,    0.001300,    0.001300,    0.000000
